StoreId,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Open Hours,Url,Provider,Updated Date,Country
403,Trader Joe'S Dallas - Lower Greenville (403),32.81481,-96.77019,2001 Greenville Ave Dallas TX 75206,2001 Greenville Ave,Dallas,TX,75206,Dallas,469-334-0614,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/tx/dallas/403,Trader Joes,1/21/2020,USA
53,Trader Joe'S Glendale (53),34.159195,-118.25487,103 E Glenoaks Blvd Glendale CA 91207,103 E Glenoaks Blvd,Glendale,CA,91207,Los Angeles,818-507-8192,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/ca/glendale/53,Trader Joes,1/21/2020,USA
93,Trader Joe'S Tempe (93),33.36173959,-111.9112055,6460 S Mcclintock Dr Tempe AZ 85283,6460 S Mcclintock Dr,Tempe,AZ,85283,Maricopa,480-838-4142,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/az/tempe/93,Trader Joes,1/21/2020,USA
682,Trader Joe'S Northbrook (682),42.14991,-87.80005,127 Skokie Blvd Northbrook IL 60062,127 Skokie Blvd,Northbrook,IL,60062,Cook,847-480-9280,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/il/northbrook/682,Trader Joes,1/21/2020,USA
150,Trader Joe'S Bend (150),44.10277,-121.29912,63455 N Hwy 97 Bend OR 97701,63455 N Hwy 97,Bend,OR,97701,Deschutes,541-312-4198,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/or/bend/150,Trader Joes,1/21/2020,USA
554,Trader Joe'S Hewlett (554),40.638925,-73.70162,1280 West Broadway Hewlett NY 11557,1280 West Broadway,Hewlett,NY,11557,Nassau,516-569-7191,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/ny/hewlett/554,Trader Joes,1/21/2020,USA
687,Trader Joe'S Arlington Heights (687),42.1139313,-87.98233826,17 W Rand Rd Arlington Heights IL 60004,17 W Rand Rd,Arlington Heights,IL,60004,Cook,847-506-0752,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/il/arlington-heights/687,Trader Joes,1/21/2020,USA
49,Trader Joe'S Sherman Oaks (49),34.15760308,-118.4407615,14119 Riverside Dr Sherman Oaks CA 91423,14119 Riverside Dr,Sherman Oaks,CA,91423,Los Angeles,818-789-2771,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/ca/sherman-oaks/49,Trader Joes,1/21/2020,USA
282,Trader Joe'S Paradise Valley (282),33.58278,-111.978729,4726 East Shea Blvd Phoenix AZ 85028,4726 East Shea Blvd,Phoenix,AZ,85028,Maricopa,602-485-7788,Monday :- 08:00 - 21:00 | Tuesday :- 08:00 - 21:00 | Wednesday :- 08:00 - 21:00 | Thursday :- 08:00 - 21:00 | Friday :- 08:00 - 21:00 | Saturday :- 08:00 - 21:00 | Sunday :- 08:00 - 21:00,https://locations.traderjoes.com/az/phoenix/282,Trader Joes,1/21/2020,USA
512,Trader Joe'S Hadley (512),42.35822714,-72.54984429,375 Russell St Hadley MA 01035,375 Russell St,Hadley,MA,01035,Hampshire,413-587-3260,Monday :- 09:00 - 21:00 | Tuesday :- 09:00 - 21:00 | Wednesday :- 09:00 - 21:00 | Thursday :- 09:00 - 21:00 | Friday :- 09:00 - 21:00 | Saturday :- 09:00 - 21:00 | Sunday :- 09:00 - 21:00,https://locations.traderjoes.com/ma/hadley/512,Trader Joes,1/21/2020,USA
