Row_ID,Store_ID,Year,Quarter,Total_Revenue
0,3,2023,Q1,46291.27495198135
1,3,2023,Q1,18737.659501830232
2,3,2023,Q1,22846.078536385416
12,5,2023,Q1,21314.800491345446
13,5,2023,Q1,17467.744345224746
14,5,2023,Q1,10593.167681188075
24,6,2023,Q1,32033.379272618557
25,6,2023,Q1,36913.68303549202
26,6,2023,Q1,11303.05619953079
36,7,2023,Q1,28440.552989294003
37,7,2023,Q1,37647.46245
38,7,2023,Q1,33212.039616342714
48,8,2023,Q1,34059.83584932433
49,8,2023,Q1,45303.21810928435
50,8,2023,Q1,32374.63983
60,9,2023,Q1,14203.753366149185
61,9,2023,Q1,22549.59786074251
62,9,2023,Q1,33649.43059723757
72,11,2023,Q1,35114.99264
73,11,2023,Q1,49532.545868566674
74,11,2023,Q1,23705.917617960018
84,13,2023,Q1,47690.66604965594
85,13,2023,Q1,36745.34850359942
86,13,2023,Q1,45173.89968016034
96,14,2023,Q1,28174.720158623004
97,14,2023,Q1,34311.04391019062
98,14,2023,Q1,16814.758740364407
108,15,2023,Q1,38523.10863026823
109,15,2023,Q1,30171.59759
110,15,2023,Q1,41372.891915292035
120,16,2023,Q1,45706.89843148947
121,16,2023,Q1,10361.226243521387
122,16,2023,Q1,20777.6101
132,17,2023,Q1,39136.65624
133,17,2023,Q1,34359.80528050558
134,17,2023,Q1,25340.934159442666
144,18,2023,Q1,18763.614011543927
145,18,2023,Q1,21748.193048814064
146,18,2023,Q1,42016.94514025037
156,19,2023,Q1,30511.175447136546
157,19,2023,Q1,23825.43995089059
158,19,2023,Q1,36084.84058436738
168,20,2023,Q1,14063.173667739913
169,20,2023,Q1,11223.45639333084
170,20,2023,Q1,13710.183044568217
180,21,2023,Q1,28742.453915631635
181,21,2023,Q1,28317.76584660068
182,21,2023,Q1,17767.23712
192,22,2023,Q1,33014.536405120976
193,22,2023,Q1,30015.60377480752
194,22,2023,Q1,19386.445828277945
204,23,2023,Q1,21660.167685155542
205,23,2023,Q1,32008.42389938799
206,23,2023,Q1,33476.46006885177
216,24,2023,Q1,45506.345144555235
217,24,2023,Q1,21912.54473475924
218,24,2023,Q1,40080.19075646595
228,25,2023,Q1,39484.056770954834
229,25,2023,Q1,16724.40129928271
230,25,2023,Q1,45404.31446
240,26,2023,Q1,49545.743786298895
241,26,2023,Q1,13051.483957690149
242,26,2023,Q1,39397.43521
252,27,2023,Q1,20887.09601680054
253,27,2023,Q1,25902.80864119134
254,27,2023,Q1,35890.17659596429
264,28,2023,Q1,39606.928236112406
265,28,2023,Q1,20397.36687860931
266,28,2023,Q1,39144.91167236985
276,29,2023,Q1,13367.372017688627
277,29,2023,Q1,19426.26166607814
278,29,2023,Q1,49915.90778765899
288,30,2023,Q1,16857.65128851871
289,30,2023,Q1,24645.528331506954
290,30,2023,Q1,28084.491094998797
300,31,2023,Q1,23792.833421608324
301,31,2023,Q1,40469.165563670635
302,31,2023,Q1,35279.49709568153
312,32,2023,Q1,14284.46014624949
313,32,2023,Q1,36874.65051150986
314,32,2023,Q1,34345.49370265013
324,33,2023,Q1,27341.294860561553
325,33,2023,Q1,34706.398411651026
326,33,2023,Q1,23930.801207862598
336,34,2023,Q1,16786.511200719033
337,34,2023,Q1,25978.990549313465
338,34,2023,Q1,37781.585043850166
348,35,2023,Q1,49976.50075562673
349,35,2023,Q1,22664.593575615967
350,35,2023,Q1,16601.13064242499
360,36,2023,Q1,36356.20113974943
361,36,2023,Q1,10839.813627806052
362,36,2023,Q1,12186.89090436159
372,37,2023,Q1,44750.72117382077
373,37,2023,Q1,19450.028155583415
374,37,2023,Q1,31684.99530289293
384,38,2023,Q1,20299.71528638965
385,38,2023,Q1,38629.98369258671
386,38,2023,Q1,19830.030694220848
396,39,2023,Q1,44611.555490531355
397,39,2023,Q1,13429.436245502111
398,39,2023,Q1,22510.053752960448
408,40,2023,Q1,42136.00992301841
409,40,2023,Q1,36393.02344485678
410,40,2023,Q1,39673.73789
420,41,2023,Q1,37827.147048553525
421,41,2023,Q1,42637.97178910686
422,41,2023,Q1,42044.476133345575
432,42,2023,Q1,39687.31811900748
433,42,2023,Q1,26540.578311815705
434,42,2023,Q1,47214.97258375109
444,43,2023,Q1,43798.330458800265
445,43,2023,Q1,28914.99976633744
446,43,2023,Q1,31720.778021982824
456,44,2023,Q1,19506.846325329483
457,44,2023,Q1,15467.43431111674
458,44,2023,Q1,36298.358439242395
468,45,2023,Q1,26942.119971059732
469,45,2023,Q1,36975.857508014815
470,45,2023,Q1,25701.05268634907
480,46,2023,Q1,18393.031119615378
481,46,2023,Q1,37878.395015653274
482,46,2023,Q1,22073.62579926779
492,47,2023,Q1,40230.05097313154
493,47,2023,Q1,47773.45726436086
494,47,2023,Q1,10443.504309086711
504,48,2023,Q1,44639.18472018368
505,48,2023,Q1,19621.415129014516
506,48,2023,Q1,33637.37142674212
516,49,2023,Q1,30384.832399860785
517,49,2023,Q1,17679.646443751746
518,49,2023,Q1,13254.84811136633
528,50,2023,Q1,49475.09087329795
529,50,2023,Q1,40447.98297604806
530,50,2023,Q1,35149.30595154737
540,51,2023,Q1,14318.452479144406
541,51,2023,Q1,25394.748307709837
542,51,2023,Q1,16058.293308801534
552,52,2023,Q1,46889.28805698692
553,52,2023,Q1,39629.51508359904
554,52,2023,Q1,27862.12481573933
564,53,2023,Q1,24498.81358671621
565,53,2023,Q1,25568.942410004332
566,53,2023,Q1,26273.44439
576,54,2023,Q1,11057.31461121815
577,54,2023,Q1,33408.672926331725
578,54,2023,Q1,13906.215083635783
588,55,2023,Q1,15644.54367392699
589,55,2023,Q1,38794.82701515123
590,55,2023,Q1,12917.158786537599
600,56,2023,Q1,31874.23266073692
